Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
137,tt2446502,2014-02-19,2014-02-19,,Zombie Hunter,https://www.imdb.com/title/tt2446502/,movie,3.5,93,2013,"Action, Comedy, Horror",2750,2013-07-26,K. King
138,tt0117433,2014-02-19,2014-02-19,,The Rage,https://www.imdb.com/title/tt0117433/,movie,4.5,93,1997,"Action, Thriller",585,1997-06-25,Sidney J. Furie
139,tt0938347,2014-02-19,2014-02-19,,Virus Undead,https://www.imdb.com/title/tt0938347/,movie,3.6,95,2008,"Crime, Fantasy, Horror, Thriller",798,2008-06-30,"Wolf Wolff, Ohmuthi"
140,tt0887973,2014-02-19,2014-02-19,,Zibahkhana,https://www.imdb.com/title/tt0887973/,movie,5.3,77,2007,"Horror, Thriller",885,2007-03-31,Omar Khan
141,tt0080346,2014-02-19,2014-02-19,,The Alien Dead,https://www.imdb.com/title/tt0080346/,movie,2.7,74,1980,"Comedy, Horror, Sci-Fi",1195,1980-06-01,Fred Olen Ray
142,tt1023500,2014-02-19,2014-02-19,,Doghouse,https://www.imdb.com/title/tt1023500/,movie,6.0,89,2009,"Comedy, Horror, Sci-Fi",22387,2009-06-12,Jake West
143,tt0419706,2014-02-19,2014-02-19,,Doom,https://www.imdb.com/title/tt0419706/,movie,5.2,105,2005,"Action, Horror, Sci-Fi",115308,2005-10-20,Andrzej Bartkowiak
144,tt0473514,2014-02-19,2014-02-19,,Mulberry St,https://www.imdb.com/title/tt0473514/,movie,5.5,84,2006,"Horror, Sci-Fi, Thriller",6271,2006-11-16,Jim Mickle
145,tt1131742,2014-02-19,2014-02-19,,Mutants,https://www.imdb.com/title/tt1131742/,movie,2.3,83,2008,"Action, Horror, Sci-Fi",625,2008-08-30,Amir Valinia
146,tt1146320,2014-02-19,2014-02-19,,Mutants,https://www.imdb.com/title/tt1146320/,movie,5.5,95,2009,"Drama, Horror, Sci-Fi",4177,2009-01-31,David Morley
147,tt0480249,2014-02-19,2014-02-19,,I Am Legend,https://www.imdb.com/title/tt0480249/,movie,7.2,101,2007,"Action, Drama, Horror, Sci-Fi, Thriller",771118,2007-12-05,Francis Lawrence
148,tt0067525,2014-02-19,2014-02-19,,The Omega Man,https://www.imdb.com/title/tt0067525/,movie,6.4,98,1971,"Action, Drama, Sci-Fi, Thriller",32486,1971-08-01,Boris Sagal
149,tt0210740,2014-02-19,2014-02-19,,I Zombie: The Chronicles of Pain,https://www.imdb.com/title/tt0210740/,movie,5.4,79,1998,"Drama, Horror",765,1998-12-31,Andrew Parkinson
150,tt0301163,2014-02-19,2014-02-19,,Dead Creatures,https://www.imdb.com/title/tt0301163/,video,4.5,90,2001,"Drama, Horror, Thriller",346,2001-07-31,Andrew Parkinson
151,tt0080379,2014-02-19,2014-02-19,,Apocalypse domani,https://www.imdb.com/title/tt0080379/,movie,5.5,96,1980,"Drama, Fantasy, Horror, Thriller",3974,1980-08-04,Antonio Margheriti
152,tt0129332,2014-02-19,2014-02-19,,Ravenous,https://www.imdb.com/title/tt0129332/,movie,6.9,101,1999,"Adventure, Horror, Western",41133,1999-01-01,Antonia Bird
153,tt0365125,2014-02-19,2014-02-19,,A Dirty Shame,https://www.imdb.com/title/tt0365125/,movie,5.1,89,2004,Comedy,13141,2004-09-12,John Waters
154,tt0073705,2014-02-19,2014-02-19,,Shivers,https://www.imdb.com/title/tt0073705/,movie,6.4,87,1975,"Horror, Sci-Fi",21893,1975-09-26,David Cronenberg
155,tt0228333,2014-02-19,2014-02-19,,Ghosts of Mars,https://www.imdb.com/title/tt0228333/,movie,4.9,98,2001,"Action, Horror, Sci-Fi",55800,2001-08-24,John Carpenter
156,tt0067229,2014-02-19,2014-02-19,,I Drink Your Blood,https://www.imdb.com/title/tt0067229/,movie,5.9,83,1971,Horror,3876,1971-01-20,David E. Durston
157,tt0455407,2014-02-19,2014-02-19,,The Crazies,https://www.imdb.com/title/tt0455407/,movie,6.5,101,2010,"Adventure, Horror",123807,2010-02-23,Breck Eisner
158,tt1323917,2014-02-19,2014-02-19,,Fight or Flight,https://www.imdb.com/title/tt1323917/,movie,3.5,82,2010,"Action, Horror, Thriller",733,2010-04-01,George Mendeluk
159,tt0993841,2014-02-19,2014-02-19,,Dead Air,https://www.imdb.com/title/tt0993841/,movie,5.2,90,2009,"Horror, Sci-Fi, Thriller",2377,2009-10-27,Corbin Bernsen
160,tt1206082,2014-02-19,2014-02-19,,The Dead Outside,https://www.imdb.com/title/tt1206082/,movie,4.1,86,2008,"Horror, Mystery, Thriller",1304,2008-08-24,Kerry Anne Mullaney
161,tt0069895,2014-02-19,2014-02-19,,The Crazies,https://www.imdb.com/title/tt0069895/,movie,6.1,103,1973,"Action, Horror, Sci-Fi",13813,1973-03-16,George A. Romero
162,tt0780607,2014-02-19,2014-02-19,,The Signal,https://www.imdb.com/title/tt0780607/,movie,6.0,103,2007,"Horror, Sci-Fi, Thriller",21511,2007-01-22,"Jacob Gentry, David Bruckner, Dan Bush"
163,tt0127503,2014-02-19,2014-02-19,,Death House,https://www.imdb.com/title/tt0127503/,movie,4.2,90,1988,"Action, Horror, Sci-Fi",556,1988-12-01,John Saxon
164,tt0080448,2014-02-19,2014-02-19,,Bloodeaters,https://www.imdb.com/title/tt0080448/,movie,3.9,89,1980,Horror,1051,1980-10-31,Charles McCrann
165,tt0078077,2014-02-19,2014-02-19,,Les raisins de la mort,https://www.imdb.com/title/tt0078077/,movie,6.1,85,1978,Horror,2581,1978-07-05,Jean Rollin
166,tt1641975,2014-02-19,2014-02-19,,Citadel,https://www.imdb.com/title/tt1641975/,movie,5.4,84,2012,"Drama, Horror, Thriller",7143,2012-03-11,Ciarán Foy
167,tt0075462,2014-02-19,2014-02-19,,¿Quién puede matar a un niño?,https://www.imdb.com/title/tt0075462/,movie,7.2,112,1976,"Adventure, Horror, Mystery, Thriller",7569,1976-04-26,Narciso Ibáñez Serrador
168,tt0479125,2014-02-19,2014-02-19,,The Plague,https://www.imdb.com/title/tt0479125/,video,4.5,88,2006,Horror,4439,2006-09-05,Hal Masonberg
169,tt0087799,2014-02-19,2014-02-19,,Night of the Comet,https://www.imdb.com/title/tt0087799/,movie,6.3,95,1984,"Comedy, Horror, Sci-Fi",21929,1984-08-31,Thom Eberhardt
170,tt0123948,2014-02-19,2014-02-19,,Cure,https://www.imdb.com/title/tt0123948/,movie,7.4,111,1997,"Crime, Horror, Mystery, Thriller",17459,1997-11-06,Kiyoshi Kurosawa
171,tt0441741,2014-02-19,2014-02-19,,The Cabinet of Dr. Caligari,https://www.imdb.com/title/tt0441741/,movie,5.6,76,2005,"Drama, Horror, Mystery, Thriller",737,2005-10-22,David Lee Fisher
172,tt0057181,2014-02-19,2014-02-19,,The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,https://www.imdb.com/title/tt0057181/,movie,2.3,82,1964,Horror,5169,1964-02-10,Ray Dennis Steckler
173,tt0094383,2014-02-19,2014-02-19,,Zombie High,https://www.imdb.com/title/tt0094383/,movie,4.2,93,1987,"Comedy, Horror",1318,1987-10-02,Ron Link
174,tt0051064,2014-02-19,2014-02-19,,Teenage Zombies,https://www.imdb.com/title/tt0051064/,movie,2.9,73,1959,"Horror, Sci-Fi",1163,1959-11-18,Jerry Warren
175,tt2521668,2014-02-19,2014-02-19,,Les revenants,https://www.imdb.com/title/tt2521668/,tvSeries,8.1,52,2012,"Drama, Fantasy, Horror, Mystery",20742,2012-11-26,
176,tt0286751,2014-02-19,2014-02-19,,Kairo,https://www.imdb.com/title/tt0286751/,movie,6.5,119,2001,"Horror, Mystery, Sci-Fi, Thriller",22358,2001-02-03,Kiyoshi Kurosawa
177,tt0454919,2014-02-19,2014-02-19,,Pulse,https://www.imdb.com/title/tt0454919/,movie,4.7,90,2006,"Horror, Sci-Fi, Thriller",29831,2006-08-09,Jim Sonzero
178,tt0067630,2014-02-19,2014-02-19,,Psychomania,https://www.imdb.com/title/tt0067630/,movie,5.7,85,1973,"Adventure, Horror",2943,1973-01-05,Don Sharp
179,tt0083767,2014-02-19,2014-02-19,,Creepshow,https://www.imdb.com/title/tt0083767/,movie,6.8,120,1982,"Comedy, Fantasy, Horror",49776,1982-05-20,George A. Romero
180,tt0068370,2014-02-19,2014-02-19,,Children Shouldn't Play with Dead Things,https://www.imdb.com/title/tt0068370/,movie,5.3,87,1972,"Comedy, Horror",4709,1972-06-09,Bob Clark
181,tt0081027,2014-02-19,2014-02-19,,Le lac des morts vivants,https://www.imdb.com/title/tt0081027/,movie,3.1,90,1981,Horror,3456,1981-05-13,"Julian de Laserna, Jean Rollin"
182,tt0082237,2014-02-19,2014-02-19,,Dawn of the Mummy,https://www.imdb.com/title/tt0082237/,movie,3.8,93,1981,Horror,1181,1981-12-11,Frank Agrama
183,tt0086486,2014-02-19,2014-02-19,,La tumba de los muertos vivientes,https://www.imdb.com/title/tt0086486/,movie,2.7,82,1982,Horror,2510,1982-04-21,Jesús Franco
184,tt1336006,2014-02-19,2014-02-19,,The Revenant,https://www.imdb.com/title/tt1336006/,movie,6.3,117,2009,"Comedy, Fantasy, Horror",11124,2009-08-16,D. Kerry Prior
185,tt0107626,2014-02-19,2014-02-19,,My Boyfriend's Back,https://www.imdb.com/title/tt0107626/,movie,5.4,85,1993,"Comedy, Fantasy, Horror, Romance",4781,1993-08-06,Bob Balaban
186,tt0107953,2014-02-19,2014-02-19,,Return of the Living Dead III,https://www.imdb.com/title/tt0107953/,movie,5.9,97,1993,Horror,15750,1993-06-05,Brian Yuzna
187,tt0089907,2014-02-19,2014-02-19,,The Return of the Living Dead,https://www.imdb.com/title/tt0089907/,movie,7.3,91,1985,"Comedy, Horror, Sci-Fi",63617,1985-04-18,Dan O'Bannon
188,tt0095990,2014-02-19,2014-02-19,,Return of the Living Dead: Part II,https://www.imdb.com/title/tt0095990/,movie,5.7,89,1988,"Comedy, Horror, Sci-Fi",20438,1988-01-08,Ken Wiederhorn
189,tt0368296,2014-02-19,2014-02-19,,Stacy,https://www.imdb.com/title/tt0368296/,movie,5.1,80,2001,"Comedy, Horror",1628,2001-08-18,Naoyuki Tomomatsu
190,tt0103873,2014-02-19,2014-02-19,,Braindead,https://www.imdb.com/title/tt0103873/,movie,7.5,104,1992,"Comedy, Fantasy, Horror, Thriller",99266,1992-06-04,Peter Jackson
191,tt0094962,2014-02-19,2014-02-19,,The Dead Next Door,https://www.imdb.com/title/tt0094962/,movie,5.0,78,1989,Horror,3250,1989-11-30,J.R. Bookwalter
192,tt0879265,2014-02-19,2014-02-19,,Zonbi jieitai,https://www.imdb.com/title/tt0879265/,movie,4.6,75,2006,"Action, Comedy, Horror, Sci-Fi",451,2006-04-23,Naoyuki Tomomatsu
193,tt0212430,2014-02-19,2014-02-19,,Plaga zombie,https://www.imdb.com/title/tt0212430/,video,5.4,69,1997,"Comedy, Horror",446,2006-02-16,"Hernán Sáez, Pablo Parés"
194,tt0071396,2014-02-19,2014-02-19,,Messiah of Evil,https://www.imdb.com/title/tt0071396/,movie,6.3,90,1973,Horror,4854,1973-04-23,"Gloria Katz, Willard Huyck"
195,tt0101497,2014-02-19,2014-02-19,,The Boneyard,https://www.imdb.com/title/tt0101497/,movie,5.6,98,1991,"Fantasy, Horror",1371,1991-06-12,James Cummins
196,tt0083907,2014-02-19,2014-02-19,,The Evil Dead,https://www.imdb.com/title/tt0083907/,movie,7.4,85,1981,Horror,214867,1981-10-15,Sam Raimi
197,tt0067500,2014-02-19,2014-02-19,,La noche del terror ciego,https://www.imdb.com/title/tt0067500/,movie,6.1,101,1972,"Adventure, Horror, Thriller",6062,1972-04-10,Amando de Ossorio
198,tt1259521,2014-02-19,2014-02-19,,The Cabin in the Woods,https://www.imdb.com/title/tt1259521/,movie,7.0,95,2011,"Horror, Mystery, Thriller",426482,2011-12-11,Drew Goddard
199,tt0758746,2014-02-19,2014-02-19,,Friday the 13th,https://www.imdb.com/title/tt0758746/,movie,5.5,97,2009,"Horror, Mystery, Thriller",110598,2009-02-09,Marcus Nispel
200,tt0095583,2014-02-19,2014-02-19,,Maniac Cop,https://www.imdb.com/title/tt0095583/,movie,6.0,85,1988,"Action, Crime, Horror, Mystery",18184,1988-03-31,William Lustig
201,tt0118025,2014-02-19,2014-02-19,,Uncle Sam,https://www.imdb.com/title/tt0118025/,video,4.5,89,1996,"Comedy, Horror",3293,1996-11-13,William Lustig
202,tt1191114,2014-02-19,2014-02-19,,The Gates of Hell,https://www.imdb.com/title/tt1191114/,movie,4.2,88,2008,"Horror, Thriller",181,2008-10-18,Kelly Dolen
203,tt0892899,2014-02-19,2014-02-19,,Outpost,https://www.imdb.com/title/tt0892899/,movie,5.8,90,2008,"Action, Horror, Sci-Fi, War",17518,2008-03-11,Steve Barker
204,tt0155350,2014-02-19,2014-02-19,,The Video Dead,https://www.imdb.com/title/tt0155350/,video,5.0,90,1987,Horror,4334,1987-10-15,Robert Scott
205,tt0082242,2014-02-19,2014-02-19,,Dead & Buried,https://www.imdb.com/title/tt0082242/,movie,6.5,94,1981,"Horror, Mystery",13680,1981-05-29,Gary Sherman
206,tt0104070,2014-02-19,2014-02-19,,Death Becomes Her,https://www.imdb.com/title/tt0104070/,movie,6.6,104,1992,"Comedy, Fantasy, Horror",122822,1992-07-13,Robert Zemeckis
207,tt0111159,2014-02-19,2014-02-19,,Shatter Dead,https://www.imdb.com/title/tt0111159/,movie,4.2,84,1994,Horror,704,1994-12-13,Scooter McCrae
208,tt0120804,2014-02-19,2014-02-19,,Resident Evil,https://www.imdb.com/title/tt0120804/,movie,6.6,100,2002,"Action, Horror, Sci-Fi",275925,2002-03-12,Paul W.S. Anderson
209,tt2141875,2014-03-04,2014-03-04,,Osombie,https://www.imdb.com/title/tt2141875/,movie,3.6,92,2012,"Action, Horror",1649,2012-05-05,John Lyde
210,tt1865346,2014-03-04,2014-03-04,,Detention of the Dead,https://www.imdb.com/title/tt1865346/,movie,4.5,87,2012,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",2737,2012-04-27,Alex Craig Mann
211,tt2140429,2014-03-04,2014-03-04,,Stalled,https://www.imdb.com/title/tt2140429/,movie,4.7,84,2013,"Comedy, Horror",2030,2013-07-19,Christian James
212,tt0225156,2014-03-04,2014-03-04,,Batoru gâru: Tokyo crisis wars,https://www.imdb.com/title/tt0225156/,video,4.6,73,1991,"Action, Horror",176,1991-11-08,Kazuo 'Gaira' Komizu
213,tt2297164,2014-03-04,2014-03-04,,In-lyu-myeol-mang-bo-go-seo,https://www.imdb.com/title/tt2297164/,movie,5.8,115,2012,"Comedy, Drama, Fantasy, Sci-Fi",3436,2012-04-11,"Jee-woon Kim, Pil-sung Yim"
214,tt0276500,2014-03-04,2014-03-04,,Sheng hua te jing: Sang shi ren wu,https://www.imdb.com/title/tt0276500/,movie,5.1,89,2000,"Comedy, Horror",151,2000-11-29,Wai-Man Cheng
215,tt1588173,2014-05-04,2014-05-04,,Warm Bodies,https://www.imdb.com/title/tt1588173/,movie,6.8,98,2013,"Comedy, Horror, Romance",234785,2013-01-16,Jonathan Levine
216,tt0432021,2014-05-10,2014-05-10,,Resident Evil: Extinction,https://www.imdb.com/title/tt0432021/,movie,6.2,94,2007,"Action, Horror, Sci-Fi",198749,2007-09-20,Russell Mulcahy
217,tt2570436,2014-06-30,2014-06-30,,Army of the Damned,https://www.imdb.com/title/tt2570436/,movie,3.7,85,2013,Horror,514,2013-12-03,Tom DeNucci
218,tt0906788,2014-08-10,2014-08-10,,Zombies! Zombies! Zombies!,https://www.imdb.com/title/tt0906788/,video,3.7,82,2008,"Comedy, Horror",2432,2008-09-09,Jason Murphy
219,tt1192613,2014-08-10,2014-08-10,,Onechanbara: The Movie,https://www.imdb.com/title/tt1192613/,movie,4.7,80,2008,"Action, Horror",1341,2008-04-30,Yôhei Fukuda
220,tt0088501,2014-08-10,2014-08-10,,Dead Head,https://www.imdb.com/title/tt0088501/,tvMiniSeries,7.7,50,1986,Drama,98,1986-01-15,
221,tt1912982,2014-08-10,2014-08-10,,A Little Bit Zombie,https://www.imdb.com/title/tt1912982/,movie,5.3,87,2012,"Comedy, Horror, Sci-Fi",2898,2012-02-04,Casey Walker
222,tt0369359,2014-08-10,2014-08-10,,Dead Meat,https://www.imdb.com/title/tt0369359/,movie,4.7,80,2004,"Action, Comedy, Horror, Sci-Fi",2306,2004-10-31,Conor McMahon
223,tt0087746,2014-08-10,2014-08-10,,Mortuary,https://www.imdb.com/title/tt0087746/,movie,5.1,93,1982,Horror,2516,1982-05-07,Howard Avedis
224,tt1245112,2014-08-10,2014-08-10,,[Rec]²,https://www.imdb.com/title/tt1245112/,movie,6.5,85,2009,"Horror, Thriller",74947,2009-09-02,"Jaume Balagueró, Paco Plaza"
225,tt2523692,2014-08-10,2014-08-10,,Decay,https://www.imdb.com/title/tt2523692/,movie,3.8,76,2012,Horror,439,2012-11-29,"Michael Mazur, Luke Thompson"
226,tt0829176,2014-08-10,2014-08-10,,Gallowwalkers,https://www.imdb.com/title/tt0829176/,movie,3.6,92,2012,"Action, Adventure, Fantasy, Horror, Thriller, Western",7951,2012-10-06,Andrew Goth
227,tt1296899,2014-08-10,2014-08-10,,Wake Wood,https://www.imdb.com/title/tt1296899/,movie,5.5,90,2009,"Drama, Horror, Thriller",8587,2009-09-25,David Keating
228,tt0378417,2014-08-10,2014-08-10,,Die Nacht der lebenden Loser,https://www.imdb.com/title/tt0378417/,movie,5.6,89,2004,"Comedy, Horror",2871,2004-11-04,Matthias Dinter
229,tt0070078,2014-08-10,2014-08-10,,From Beyond the Grave,https://www.imdb.com/title/tt0070078/,movie,6.6,98,1974,"Drama, Fantasy, Horror",4794,1974-02-21,Kevin Connor
230,tt0088263,2014-08-10,2014-08-10,,Michael Jackson: Thriller,https://www.imdb.com/title/tt0088263/,musicVideo,8.7,13,1983,"Horror, Music",17595,1983-11-21,John Landis
231,tt0055409,2014-08-10,2014-08-10,,Santo contra los zombies,https://www.imdb.com/title/tt0055409/,movie,5.3,85,1962,"Adventure, Horror, Action, Sci-Fi",223,1962-05-31,Benito Alazraki
232,tt0122037,2014-08-10,2014-08-10,,The Dead Pit,https://www.imdb.com/title/tt0122037/,movie,5.3,95,1989,Horror,2702,1989-05-31,Brett Leonard
233,tt0081318,2014-08-10,2014-08-10,,Paura nella città dei morti viventi,https://www.imdb.com/title/tt0081318/,movie,6.2,93,1980,Horror,18165,1980-08-11,Lucio Fulci
234,tt0470000,2014-08-10,2014-08-10,,Wicked Little Things,https://www.imdb.com/title/tt0470000/,movie,5.0,94,2006,"Drama, Fantasy, Horror",8488,2006-11-17,J.S. Cardone
235,tt0282672,2014-08-10,2014-08-10,,Ladrones de tumbas,https://www.imdb.com/title/tt0282672/,movie,6.2,88,1989,"Horror, Mystery, Thriller",901,1989-11-03,Rubén Galindo Jr.
236,tt0121164,2014-08-10,2014-08-10,,Corpse Bride,https://www.imdb.com/title/tt0121164/,movie,7.3,77,2005,"Animation, Drama, Family, Fantasy, Musical, Romance",280841,2005-09-07,"Tim Burton, Mike Johnson"
237,tt0098600,2014-08-10,2014-08-10,,The Vineyard,https://www.imdb.com/title/tt0098600/,movie,4.7,95,1989,Horror,957,1989-07-21,"James Hong, William Rice"
238,tt1037229,2014-08-10,2014-08-10,,Yoroi: Samurai zonbi,https://www.imdb.com/title/tt1037229/,movie,5.0,91,2008,"Action, Horror",250,2008-07-21,Tak Sakaguchi
239,tt0068457,2014-08-10,2014-08-10,,Dead of Night,https://www.imdb.com/title/tt0068457/,movie,6.6,88,1974,"Drama, Horror, Thriller",5515,1974-08-29,Bob Clark
240,tt1699231,2014-08-10,2014-08-10,,Quarantine 2: Terminal,https://www.imdb.com/title/tt1699231/,movie,5.2,86,2011,"Horror, Sci-Fi, Thriller",20164,2011-01-27,John Pogue
241,tt0497432,2014-08-10,2014-08-10,,The Rage,https://www.imdb.com/title/tt0497432/,movie,4.2,85,2007,Horror,1941,2007-07-13,Robert Kurtzman
242,tt0083629,2014-08-10,2014-08-10,,The Beast Within,https://www.imdb.com/title/tt0083629/,movie,5.6,98,1982,Horror,4207,1982-02-12,Philippe Mora
243,tt0848552,2014-08-10,2014-08-10,,The Mad,https://www.imdb.com/title/tt0848552/,movie,4.7,83,2007,"Action, Comedy, Horror, Sci-Fi, Thriller",1845,2007-05-22,Johnny Kalangis
244,tt2965056,2014-08-10,2014-08-10,,"I, Zombie",https://www.imdb.com/title/tt2965056/,short,5.2,8,2013,"Short, Comedy, Drama, Thriller",113,2013-06-29,Dave Kilgore
245,tt0089002,2014-08-10,2014-08-10,,Death Warmed Up,https://www.imdb.com/title/tt0089002/,movie,4.5,82,1984,"Horror, Sci-Fi",1282,1984-11-30,David Blyth
246,tt1226681,2014-08-10,2014-08-10,,Pontypool,https://www.imdb.com/title/tt1226681/,movie,6.5,93,2008,"Horror, Sci-Fi",33301,2008-09-06,Bruce McDonald
247,tt0074226,2014-08-10,2014-08-10,,Blue Sunshine,https://www.imdb.com/title/tt0074226/,movie,6.0,94,1977,"Horror, Thriller",3033,1977-09-03,Jeff Lieberman
248,tt0010323,2014-08-10,2014-08-10,,Das Cabinet des Dr. Caligari,https://www.imdb.com/title/tt0010323/,movie,8.0,76,1920,"Horror, Mystery, Thriller",65778,1920-02-26,Robert Wiene
249,tt2140553,2014-08-10,2014-08-10,,The Last of Us,https://www.imdb.com/title/tt2140553/,videoGame,9.7,,2013,"Action, Adventure, Drama, Horror, Sci-Fi, Thriller",68463,2013-06-14,"Bruce Straley, Neil Druckmann"
250,tt0463854,2014-08-10,2014-08-10,,28 Weeks Later,https://www.imdb.com/title/tt0463854/,movie,6.9,100,2007,"Action, Adventure, Horror, Sci-Fi",281171,2007-04-26,Juan Carlos Fresnadillo
251,tt2006890,2014-08-10,2014-08-10,,The Walking Dead: The Game - Season 1,https://www.imdb.com/title/tt2006890/,videoGame,9.2,,2012,"Drama, Horror, Sci-Fi, Thriller",13515,2012-04-24,"Jake Rodkin, Nick Herman, Dennis Lenart, Eric Parsons, Sean Ainsworth, Sean Vanaman"
252,tt1520211,2014-08-10,2014-08-10,,The Walking Dead,https://www.imdb.com/title/tt1520211/,tvSeries,8.1,44,2010,"Drama, Horror, Thriller",1013197,2010-10-31,
253,tt0318627,2014-08-10,2014-08-10,,Resident Evil: Apocalypse,https://www.imdb.com/title/tt0318627/,movie,6.1,94,2004,"Action, Horror, Sci-Fi, Thriller",202879,2004-08-23,Alexander Witt
254,tt1220634,2014-08-10,2014-08-10,,Resident Evil: Afterlife,https://www.imdb.com/title/tt1220634/,movie,5.8,96,2010,"Action, Horror, Sci-Fi",174093,2010-09-02,Paul W.S. Anderson
255,tt1855325,2014-08-10,2014-08-10,,Resident Evil: Retribution,https://www.imdb.com/title/tt1855325/,movie,5.3,95,2012,"Action, Horror, Sci-Fi, Thriller",144997,2012-09-03,Paul W.S. Anderson
256,tt2758950,2014-08-10,2014-08-10,,Helix,https://www.imdb.com/title/tt2758950/,tvSeries,6.7,40,2014,"Drama, Horror, Mystery, Sci-Fi, Thriller",29942,2014-01-10,
257,tt2480514,2014-08-10,2014-08-10,,In the Flesh,https://www.imdb.com/title/tt2480514/,tvSeries,7.9,56,2013,"Comedy, Drama, Horror",13514,2013-03-17,
258,tt3843168,2014-08-10,2014-08-10,,Z Nation,https://www.imdb.com/title/tt3843168/,tvSeries,6.7,44,2014,"Action, Comedy, Drama, Horror, Romance, Sci-Fi",37501,2014-09-12,
259,tt2917336,2014-08-16,2014-08-16,,The Dead 2: India,https://www.imdb.com/title/tt2917336/,movie,5.1,98,2013,Horror,2085,2013-08-22,"Howard J. Ford, Jonathan Ford"
260,tt1826956,2014-08-16,2014-08-16,,Operation Ragnarök,https://www.imdb.com/title/tt1826956/,movie,3.1,89,2018,"Action, Drama, Sci-Fi, Thriller",477,2018-12-07,Fredrik Hiller
261,tt1927012,2014-08-16,2014-08-16,,Dead Shadows,https://www.imdb.com/title/tt1927012/,movie,3.8,75,2012,"Horror, Sci-Fi",1213,2012-09-10,David Cholewa
262,tt2832470,2014-08-16,2014-08-16,,Død snø 2,https://www.imdb.com/title/tt2832470/,movie,6.8,100,2014,"Action, Comedy, Fantasy, Horror",25550,2014-01-19,Tommy Wirkola
263,tt2581244,2014-08-16,2014-08-16,,Life After Beth,https://www.imdb.com/title/tt2581244/,movie,5.6,89,2014,"Comedy, Fantasy, Horror, Romance",22383,2014-01-19,Jeff Baena
264,tt2836260,2014-08-16,2014-08-16,,Chrysalis,https://www.imdb.com/title/tt2836260/,movie,4.7,100,2014,"Drama, Horror, Sci-Fi",978,2014-04-24,John Klein
265,tt2784512,2014-08-16,2014-08-16,,Zombeavers,https://www.imdb.com/title/tt2784512/,movie,4.8,77,2014,"Comedy, Horror",19136,2014-04-13,Jordan Rubin
266,tt3608654,2014-08-16,2014-08-16,,The Coed and the Zombie Stoner,https://www.imdb.com/title/tt3608654/,movie,3.6,91,2014,"Comedy, Horror, Sci-Fi",1496,2014-04-18,Glenn Miller
267,tt1512222,2014-08-16,2014-08-16,,Night of the Living Dead: Darkest Dawn,https://www.imdb.com/title/tt1512222/,movie,3.8,62,2015,"Animation, Action, Horror",436,2015-10-05,"Zebediah De Soto, Krisztian Majdik"
268,tt2787824,2014-08-16,2014-08-16,,Goal of the Dead,https://www.imdb.com/title/tt2787824/,movie,5.5,140,2014,"Comedy, Horror",1574,2014-02-27,"Thierry Poiraud, Benjamin Rocher"
269,tt2573822,2014-08-16,2014-08-16,,Utopia,https://www.imdb.com/title/tt2573822/,movie,6.7,72,2013,"Horror, Music",82,2013-03-17,Daniel William Bones
270,tt2450186,2014-08-16,2014-08-16,,V/H/S/2,https://www.imdb.com/title/tt2450186/,movie,6.0,96,2013,"Horror, Sci-Fi",41465,2013-01-19,"Gregg Hale, Jason Eisener, Adam Wingard, Simon Barrett, Eduardo Sánchez, Gareth Evans, Timo Tjahjanto"
271,tt2105044,2014-08-16,2014-08-16,,V/H/S,https://www.imdb.com/title/tt2105044/,movie,5.8,116,2012,Horror,64678,2012-01-22,"Adam Wingard, Tyler Gillett, Matt Bettinelli-Olpin, David Bruckner, Glenn McQuaid, Chad Villella, Joe Swanberg, Justin Martinez, Radio Silence, Ti West"
272,tt1835129,2014-10-19,2014-10-19,,Death Valley,https://www.imdb.com/title/tt1835129/,tvSeries,7.7,22,2011,"Comedy, Horror",5514,2011-08-29,
